4096	6016	4
4900	6190	5
5625	6610	6
6561	7444	7
7744	8872	8
9025	10790	9
10404	13114	11
12100	16130	12
14161	19982	14
16384	24320	16
19321	24914	19
22500	26718	22
26244	30066	26
30625	35318	30
35721	42864	35
41616	52812	41
48400	64924	48
56644	80386	56
65536	97792	64
76729	99976	124
89401	106994	198
104329	120170	240
121801	140944	318
142129	170876	461
165649	210542	744
192721	258894	993
225625	320634	1323
262144	392192	1746
305809	400556	2708
357604	429086	3949
417316	481838	4720
485809	563132	6615
567009	682356	8508
660969	840756	13517
770884	1037186	17530
900601	1280716	23682
1048576	1570816	31360
1223236	1604354	35811
1428025	1716850	46707
1666681	1926994	57830
1943236	2254946	67627
2268036	2731954	73290
2643876	3365854	83918
3083536	4151964	100685
3598609	5119224	116420
4194304	6287360	127744
4892944	6421676	144802
5712100	6871838	188569
6661561	7707272	233609
7767369	9017226	272523
9066121	10923242	295331
10569001	13457762	338009
12334144	16614296	405535
14386849	20469616	469444
16777216	25157632	515584
19571776	25695224	582315
22838841	27489394	756254
26635921	30827692	938239
31069476	36078574	1093951
36252441	43683832	1185701
42276004	53842362	1358123
49322529	66444310	1627995
57532225	81863904	1885336
67108864	100646912	2071552
78287104	102797936	2335831
91336249	109961672	3036600
106543684	123329282	3762045
124277904	144333636	4386403
144985681	174717068	4751581
169104016	215392076	5441870
197290116	265802994	6505821
230128900	327484742	7557065
268435456	402620416	8304640
313148416	411225824	9345896
365306769	439854892	12154313
426133449	493311562	15059333
497111616	577373224	17562119
