4096	4032	32
4900	4830	39
5625	5550	44
6561	6480	52
7744	7656	61
9025	8930	71
10404	10302	82
12100	11990	95
14161	14042	111
16384	16256	128
19321	19182	151
22500	22350	176
26244	26082	206
30625	30450	240
35721	35532	280
41616	41412	326
48400	48180	379
56644	56406	443
65536	65280	512
76729	76452	637
89401	89102	795
104329	104006	974
121801	121452	1165
142129	141752	1372
165649	165242	1598
192721	192282	1850
225625	225150	2153
262144	261632	3574
305809	305256	26148
357604	357006	52444
417316	416670	82788
485809	485112	117313
567009	566256	158192
660969	660156	205805
770884	770006	260974
900601	899652	326360
1048576	1047552	399858
1223236	1222130	489099
1428025	1426830	592168
1666681	1665390	712683
1943236	1941842	851999
2268036	2266530	1015774
2643876	2642250	1205221
3083536	3081780	1426675
3598609	3596712	1686366
4194304	4192256	1985002
4892944	4890732	2338944
5712100	5709710	2751861
6661561	6658980	3230317
7767369	7764582	3787427
9066121	9063110	4442104
10569001	10565750	5199416
12334144	12330632	6089044
14386849	14383056	7123464
16777216	16773120	8325594
19571776	19567352	9736611
22838841	22834062	11382948
26635921	26630760	13296715
31069476	31063902	15531015
36252441	36246420	18142977
42276004	42269502	21178349
49322529	49315506	24729133
57532225	57524640	28866747
67108864	67100672	33687994
78287104	78278256	39325384
91336249	91326692	45901770
106543684	106533362	53565195
124277904	124266756	62501933
144985681	144973640	72936810
169104016	169091012	85091021
197290116	197276070	99294557
230128900	230113730	115842906
268435456	268419072	135137658
313148416	313130720	157675819
365306769	365287656	183961939
426133449	426112806	214613479
497111616	497089320	250380194
